chr1	134210701	134214701	+
chr1	33724603	33728603	-
chr1	9287811	9291811	-
chr1	58750833	58754833	-
chr1	25884552	25888552	-
chr1	125940136	125944136	-
chr1	75501027	75505027	-
chr1	109055691	109059691	-
chr1	184493137	184497137	+
chr1	167716811	167720811	+
chr1	176100906	176104906	+
chr1	11402185	11406185	+
chr1	13648590	13652590	-
chr1	10708024	10712024	-
chr1	20939706	20943706	+
chr1	32227650	32231650	+
chr1	36738028	36742028	-
chr1	37774656	37778656	-
chr1	40860445	40864445	+
chr1	43988851	43992851	+
chr1	46121582	46125582	+
chr1	51388623	51392623	-
chr1	53761628	53765628	-
chr1	55460789	55464789	+
chr1	60801231	60805231	+
chr1	61683397	61687397	+
chr1	69152633	69156633	-
chr1	69871543	69875543	+
chr1	69996188	70000188	+
chr1	71459484	71463484	-
chr1	80753128	80757128	-
chr1	82834057	82838057	+
chr1	89108488	89112488	+
chr1	88049354	88053354	+
chr1	88049389	88053389	+
chr1	93353905	93357905	-
chr1	95406680	95410680	+
chr1	99664669	99668669	-
chr1	97562171	97566171	-
chr1	101667341	101671341	+
chr1	121731648	121735648	-
chr1	133174140	133178140	-
chr1	128725209	128729209	-
chr1	129997882	130001882	+
chr1	128387504	128391504	-
chr1	136310043	136314043	+
chr1	140514273	140518273	-
chr1	137479932	137483932	-
chr1	135258148	135262148	+
chr1	138362534	138366534	+
chr1	160290434	160294434	+
chr1	161451899	161455899	+
chr1	162721069	162725069	-
chr1	164668687	164672687	-
chr1	172017075	172021075	-
chr1	174054885	174058885	+
chr1	180334011	180338011	+
chr1	181446134	181450134	-
chr1	177420676	177424676	-
chr1	189430884	189434884	+
chr1	186667726	186671726	-
chr1	3659579	3663579	-
chr1	4397322	4401322	-
chr1	5007507	5011507	-
chr1	4846408	4850408	+
chr1	5058366	5062366	-
chr1	5071253	5075253	+
chr1	4845774	4849774	+
chr1	6475311	6479311	+
chr1	6718131	6722131	+
chr1	9786210	9790210	+
chr1	10026298	10030298	+
chr1	9619173	9623173	-
chr1	9997201	10001201	-
chr1	10981545	10985545	+
chr1	11252043	11256043	+
chr1	13362164	13366164	-
chr1	12680510	12684510	+
chr1	12706625	12710625	+
chr1	12979216	12983216	-
chr1	13115244	13119244	-
chr1	14298280	14302280	-
chr1	15300532	15304532	+
chr1	15880803	15884803	-
chr1	16093962	16097962	+
chr1	16644946	16648946	-
chr1	16507383	16511383	-
chr1	17085970	17089970	-
chr1	19091102	19095102	+
chr1	20606138	20610138	-
chr1	21228669	21232669	+
chr1	21950023	21954023	-
chr1	22810563	22814563	-
chr1	23927128	23931128	-
chr1	24182448	24186448	+
chr1	24592276	24596276	-
chr1	24683382	24687382	+
chr1	26742305	26746305	-
chr1	28835097	28839097	-
chr1	34066669	34070669	+
chr1	33963069	33967069	+
chr1	33962466	33966466	-
chr1	34856566	34860566	+
chr1	36427135	36431135	+
chr1	36566720	36570720	+
chr1	36816705	36820705	+
chr1	36994372	36998372	-
chr1	37484948	37488948	-
chr1	38184507	38188507	-
chr1	38719800	38723800	-
chr1	38012604	38016604	-
chr1	37919924	37923924	-
chr1	38953005	38957005	-
chr1	39249116	39253116	+
chr1	39533592	39537592	-
chr1	39955757	39959757	+
chr1	40321430	40325430	+
chr1	40494493	40498493	+
chr1	40279924	40283924	+
chr1	40495472	40499472	+
chr1	40736556	40740556	+
chr1	42749670	42753670	-
chr1	43500595	43504595	+
